품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
고주파자극기,(주)에이엠티엔지니어링,제허 06-189 호,20060316,제조,취소·취하,1,비대상,,2010-04-20
고주파자극기,인디바코리아,수허 06-229 호,20060308,수입,취소·취하,1,비대상,INDIBA.S.A,2014-01-02
고주파자극기,(주)청우메디칼,제허 06-150 호,20060224,제조,취소·취하,1,비대상,,2011-01-14
고주파자극기,(주)에너지플러스,제허 06-154 호,20060224,제조,취소·취하,1,비대상,,2014-07-25
고주파 자극기,대양의료기(주),제허 06-102 호,20060213,제조,정상,1,비대상,,
고주파자극기,이유메디칼,제허 06-109 호,20060116,제조,취소·취하,1,비대상,,2007-03-29
고주파자극기,(주)빅메드인스트루먼트,제허 05-997 호,20051222,제조,취소·취하,1,비대상,,2010-06-18
고주파 자극기,(주)썸텍,제허 05-929 호,20051121,제조,정상,1,비대상,,
고주파자극기,한메디텍,제허 05-892 호,20051111,제조,취소·취하,1,비대상,,2009-12-29
고주파자극기,(주)조이엠지,수허 05-992 호,20051024,수입,취소·취하,1,비대상,TELEA ELECTRONIC ENEGINEERING s.r.l,2026-01-01
고주파자극기,(주)레베코인더스트리얼,제허 05-809 호,20051017,제조,취소·취하,1,비대상,,2012-04-27
고주파자극기,패스코(주),제허 05-536 호,20050624,제조,취소·취하,1,비대상,,2011-09-20
고주파자극기,(주)아이티시,제허 05-529 호,20050623,제조,취소·취하,1,비대상,,2025-12-01
고주파자극기,(주)레베코인더스트리얼,제허 05-528 호,20050623,제조,취소·취하,1,비대상,,2014-12-05
고주파자극기,우진시스템,제허 05-530 호,20050623,제조,취소·취하,1,비대상,,2010-05-07
고주파자극기,(주)에너지플러스,제허 05-467 호,20050531,제조,취소·취하,1,비대상,,2012-06-20
고주파자극기,(주)에너지플러스,제허 05-466 호,20050531,제조,취소·취하,1,비대상,,2007-08-22
고주파자극기,(주)쉬엔비,제허 05-336 호,20050503,제조,취소·취하,1,비대상,,2006-10-09
고주파자극기,(주)청우메디칼,제허 05-262 호,20050413,제조,취소·취하,1,비대상,,2008-11-11
고주파자극기,(주)아이티시,제허 05-238 호,20050406,제조,취소·취하,1,비대상,,2023-08-03
