품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
치과용 임플란트 고정체,(주)덴티스,제허 24-569 호,20240819,제조,정상,1,비대상,,
치과용 임플란트 고정체,신세기메디텍(주),제허 24-556 호,20240816,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주) 메타약품,제허 24-550 호,20240814,제조,취소·취하,1,비대상,이젠임플란트(주),2025-07-28
치과용 임플란트 고정체,(주) 메타약품,제허 24-551 호,20240814,제조,취소·취하,1,비대상,이젠임플란트(주),2025-07-28
치과용 임플란트 고정체,(주) 메타약품,제허 24-549 호,20240814,제조,취소·취하,1,비대상,이젠임플란트(주),2025-07-28
치과용 임플란트 고정체,(주)아이디스,제허 24-510 호,20240730,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)아름덴티스트리,제허 24-475 호,20240712,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 24-469 호,20240710,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)아이디스,제허 24-464 호,20240708,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)메가젠임플란트,제허 24-456 호,20240704,제조,정상,1,비대상,,
치과용임플란트고정체,(주)비앤메디,제허 24-445 호,20240702,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)워랜텍,제허 24-383 호,20240605,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)케이제이메디텍,제허 24-382 호,20240604,제조,정상,1,비대상,,
치과용 임플란트 고정체,원메디텍,제허 24-337 호,20240517,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)오스비스,제허 24-325 호,20240510,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)오스비스,제허 24-324 호,20240510,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)아이디스,제허 24-300 호,20240430,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)오스비스,제허 24-269 호,20240418,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)오스비스,제허 24-268 호,20240418,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스테오바이오닉스 주식회사,제허 24-253 호,20240409,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 24-192 호,20240313,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)하이니스,제허 24-168 호,20240305,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 24-134 호,20240221,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 24-133 호,20240221,제조,정상,1,비대상,,
치과용임플란트고정체,(주)아침해의료기,제허 24-103 호,20240207,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스테오바이오닉스 주식회사,제허 24-82 호,20240201,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스테오바이오닉스 주식회사,제허 24-81 호,20240201,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)엠씨티바이오,제허 24-70 호,20240130,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스테오바이오닉스 주식회사,제허 24-59 호,20240123,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스테오바이오닉스 주식회사,제허 24-26 호,20240110,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스테오바이오닉스 주식회사,제허 24-30 호,20240110,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)이노바이오써지,제허 23-1187 호,20231228,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)태원테크,제허 23-1164 호,20231220,제조,취소·취하,1,비대상,,2024-12-12
치과용 임플란트 고정체,오스테오바이오닉스 주식회사,제허 23-1127 호,20231212,제조,정상,1,비대상,,
치과용 임플란트 고정체,주식회사쿠보텍,제허 23-1128 호,20231212,제조,정상,1,비대상,,
치과용 임플란트 고정체,주식회사쿠보텍,제허 23-1129 호,20231212,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주) 메타약품,제허 23-1118 호,20231207,제조,취소·취하,1,비대상,신세기메디텍(주),2025-07-28
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 23-1093 호,20231128,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 23-1075 호,20231121,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)오스비스,제허 23-1060 호,20231115,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 23-1048 호,20231109,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 23-990 호,20231018,제조,정상,1,비대상,,
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 23-980 호,20231013,제조,정상,1,비대상,,
치과용임플란트고정체,(주)워랜텍,제허 23-901 호,20230908,제조,정상,1,비대상,,
치과용 임플란트 고정체,주식회사 비투랩,제허 23-871 호,20230828,제조,정상,1,비대상,,
치과용임플란트고정체,(주)워랜텍,제허 23-859 호,20230823,제조,정상,1,비대상,,
치과용임플란트고정체,(주)오스비스,제허 23-850 호,20230821,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)비앤메디,제허 23-837 호,20230814,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)엠비에이바이오텍,제허 23-806 호,20230728,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)비앤메디,제허 23-802 호,20230725,제조,정상,1,비대상,,
치과용임플란트고정체,시에스엠임플란트,제허 23-762 호,20230706,제조,정상,1,비대상,,
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 23-750 호,20230705,제조,정상,1,비대상,,
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 23-752 호,20230705,제조,정상,1,비대상,,
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 23-751 호,20230705,제조,정상,1,비대상,,
치과용임플란트고정체,오스템임플란트(주),제허 23-753 호,20230705,제조,정상,1,비대상,,
치과용임플란트고정체,덴츠플라이시로나코리아(유),수허 23-251 호,20230630,수입,정상,1,비대상,MIS Implants Technologies Ltd.,
치과용임플란트고정체,(주)케이제이메디텍,제허 23-740 호,20230630,제조,정상,1,비대상,,
치과용임플란트고정체,덴츠플라이시로나코리아(유),수허 23-250 호,20230630,수입,정상,1,비대상,MIS Implants Technologies Ltd.,
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 23-727 호,20230628,제조,정상,1,비대상,오스테오바이오닉스 주식회사,
치과용임플란트고정체,이젠임플란트(주),제허 23-672 호,20230615,제조,정상,1,비대상,,
치과용임플란트고정체,이젠임플란트(주),제허 23-671 호,20230615,제조,정상,1,비대상,,
치과용임플란트고정체,이젠임플란트(주),제허 23-656 호,20230612,제조,정상,1,비대상,,
치과용임플란트고정체,이젠임플란트(주),제허 23-657 호,20230612,제조,정상,1,비대상,,
치과용임플란트고정체,(주)스누콘,제허 23-643 호,20230607,제조,정상,1,비대상,,
치과용임플란트고정체,이젠임플란트(주),제허 23-621 호,20230530,제조,정상,1,비대상,,
치과용임플란트고정체,(주)비앤메디,제허 23-586 호,20230516,제조,정상,1,비대상,,
치과용임플란트고정체,오스템임플란트(주),제허 23-572 호,20230511,제조,정상,1,비대상,,
치과용임플란트고정체,(주)하이니스,제허 23-541 호,20230426,제조,정상,1,비대상,,
치과용임플란트고정체,(주)아이디스,제허 23-479 호,20230406,제조,정상,1,비대상,,
치과용임플란트고정체,주식회사 유니언스,제허 23-475 호,20230405,제조,정상,1,비대상,삼원 DMP,
치과용임플란트고정체,주식회사 유니언스,제허 23-474 호,20230405,제조,정상,1,비대상,삼원 DMP,
특수재질치과용임플란트고정체,오스템임플란트(주),제허 23-467 호,20230403,제조,정상,1,비대상,,
치과용임플란트고정체,주식회사 비투랩,제허 23-436 호,20230324,제조,정상,1,비대상,,
치과용임플란트고정체,(주)트루어버트먼트코리아,제허 23-422 호,20230316,제조,정상,1,비대상,,
치과용임플란트고정체,(주)이클레틱,제허 23-239 호,20230307,제조,정상,1,비대상,(주)후원이디아이,
치과용임플란트고정체,(주)태원테크,제허 23-232 호,20230306,제조,취소·취하,1,비대상,,2024-12-12
치과용임플란트고정체,(주)원데이바이오텍,제허 23-134 호,20230224,제조,정상,1,비대상,,
치과용임플란트고정체,(주)메가젠임플란트,제허 23-127 호,20230222,제조,정상,1,비대상,,
치과용임플란트고정체,(주)트루어버트먼트코리아,제허 23-110 호,20230216,제조,정상,1,비대상,,
치과용임플란트고정체,(주)트루어버트먼트코리아,제허 23-111 호,20230216,제조,정상,1,비대상,,
치과용임플란트고정체,(주)덴티움광교공장,제허 23-88 호,20230208,제조,정상,1,비대상,,
치과용임플란트고정체,(주)오스비스,제허 23-53 호,20230120,제조,정상,1,비대상,,
치과용임플란트고정체,(주)아름덴티스트리,제허 23-22 호,20230112,제조,정상,1,비대상,,
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 23-20 호,20230110,제조,정상,1,비대상,,
치과용임플란트고정체,오스테오바이오닉스 주식회사,제허 22-881 호,20221221,제조,정상,1,비대상,,
치과용임플란트고정체,주식회사 유니언스,제허 22-813 호,20221202,제조,정상,1,비대상,삼원 D.M.P,
치과용임플란트고정체,주식회사 유니언스,제허 22-812 호,20221202,제조,정상,1,비대상,삼원 D.M.P,
치과용임플란트고정체,(주)아름덴티스트리,제허 22-808 호,20221201,제조,정상,1,비대상,,
치과용임플란트고정체,(주)오스비스,제허 22-759 호,20221114,제조,정상,1,비대상,,
치과용임플란트고정체,(주)엠비에이바이오텍,제허 22-721 호,20221026,제조,정상,1,비대상,,
치과용임플란트고정체,(주)서치,제허 22-667 호,20221004,제조,정상,1,비대상,,
치과용임플란트고정체,주식회사 제노,제허 22-666 호,20221004,제조,정상,1,비대상,,
